Demographic Information - What is your age?,Demographic Information - What is your gender?,Demographic Information - What is your current occupation?,"Digital Device Usage - On average, how many hours per day do you spend on digital devices (smartphones, tablets, computers, etc.)?",Digital Device Usage - Which activities do you spend most of your time on digital devices? (Select all that apply),Digital Device Usage - Do you use digital devices at night before sleep?,Digital Device Usage - Do you think the time you spend on your digital devices is good use of your time?,Mental Health and Well-Being - How often do you feel stressed?,"Mental Health and Well-Being - Have you ever felt symptoms of depression (such as prolonged sadness, loss of interest, fatigue, etc.)?",Mental Health and Well-Being - Do you feel comfortable discussing your mental health with friends or family?,Mental Health and Well-Being - Do you think your digital device usage affects your mental health?,"Physical Activity and Sleep - How often do you engage in physical activities (exercise, sports, etc.)?",Physical Activity and Sleep - How would you rate your sleep quality?,Physical Activity and Sleep - How would you rate your current nutrition and diet?,Access to Mental Health Resources - Are you aware of the mental health resources available to you?,Access to Mental Health Resources - Have you ever sought professional help for mental health issues?,Preferences for Mental Health Support - What is your preferred mode of receiving mental health support? (Select all that apply),Preferences for Mental Health Support - Would you be open to using an AI-powered chatbot for mental health support and managing digital device usage?,Preferences for Mental Health Support - What features would you find most helpful in an AI-powered chatbot? (Select all that apply),Preferences for Mental Health Support - Do you have any suggestions for improving mental health support for Gen Z? (Open-ended)
23-27 years,Male,Employed,4-6 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Watching videos/Movies']",Never,Sometimes,Often,Yes,Neutral,Moderately,Sometimes,Average,Poor,Yes,Yes,"['Other (please specify)', 'Self-help resources (books, articles, videos)']",No,"['Daily check-ins/mood tracking', 'Connection to professional help', 'Tips for managing digital device usage']",One way to support Gen Z's mental health is by encourage employers to provide mental health support and create supportive community environments.
17-23 years,Male,Student,2-4 hours,"['Watching videos/Movies', 'Gaming', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Never,Sometimes,Sometimes,Sometimes,Somewhat uncomfortable,A lot,Always,Good,Good,No,Yes,"['Self-help resources (books, articles, videos)']",No,"['Daily check-ins/mood tracking', 'Tips for managing digital device usage', 'Resources for mental health (articles, videos, etc.)']",encourage physical activities and hobbies can help bridge the gap in mental health support for Gen Z in healthcare settings.
23-27 years,Male,Student,2-4 hours,"['Watching videos/Movies', 'Studying/Educational purposes']",Often,Sometimes,Always,Sometimes,Neutral,A little,Always,Very poor,Average,Not sure,No,"['In-person counseling', 'Online therapy sessions']",Yes,"['Other (please specify)', 'Connection to professional help', 'Immediate emotional support']",Gen Z's mental health can greatly benefit from ensure mental health resources are culturally sensitive and promote mental health awareness campaigns provided in communities.
27 years and above,Male,Employed,2-4 hours,"['Gaming', 'Watching videos/Movies']",Rarely,Yes,Often,Yes,Somewhat uncomfortable,Not at all,Sometimes,Poor,Good,Not sure,Yes,['Online therapy sessions'],Yes,"['Resources for mental health (articles, videos, etc.)']",mental health apps and professional counseling are vital for communities to effectively support Gen Z's mental health.
17-23 years,Male,Student,More than 6 hours,['Watching videos/Movies'],Sometimes,No,Sometimes,No,Very comfortable,Moderately,Never,Poor,Poor,No,Yes,['In-person counseling'],Maybe,['Immediate emotional support'],create more inclusive and diverse mental health resources and create mental health hotlines are crucial for enhancing mental health support for Gen Z.
23-27 years,Male,Student,More than 6 hours,['Gaming'],Sometimes,Yes,Sometimes,Sometimes,Very uncomfortable,Moderately,Rarely,Good,Good,No,Yes,['In-person counseling'],Maybe,"['Resources for mental health (articles, videos, etc.)', 'Tips for managing digital device usage', 'Immediate emotional support']",We should integrate mental health education into the school curriculum to ensure Gen Z has access to online resources.
Under 12 years,Male,Student,More than 6 hours,"['Studying/Educational purposes', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Gaming']",Sometimes,Yes,Rarely,No,Very comfortable,A little,Sometimes,Good,Very Good,Yes,Yes,"['Self-help resources (books, articles, videos)', 'Support groups']",No,"['Resources for mental health (articles, videos, etc.)']",Encouraging ensure mental health resources are culturally sensitive among Gen Z can lead to better coping mechanisms.
Under 12 years,Male,Student,More than 6 hours,"['Work/Professional tasks', 'Gaming', 'Watching videos/Movies']",Often,No,Sometimes,No,Somewhat uncomfortable,Significantly,Often,Average,Good,Not sure,No,"['Online therapy sessions', 'AI-powered chatbots']",Maybe,['Immediate emotional support'],It's essential to implement mental health programs and workshops for better mental health outcomes in Gen Z.
23-27 years,Female,Student,Less than 2 hours,"['Gaming', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Rarely,Yes,Sometimes,Yes,Very uncomfortable,Moderately,Rarely,Average,Average,Not sure,No,['Other (please specify)'],Maybe,"['Connection to professional help', 'Daily check-ins/mood tracking']","To improve mental health support for Gen Z, improve access to online mental health resources in schools."
12-17 years,Female,Student,More than 6 hours,"['Gaming', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Studying/Educational purposes']",Rarely,Sometimes,Rarely,No,Very comfortable,A little,Rarely,Good,Average,No,Yes,['AI-powered chatbots'],Yes,"['Immediate emotional support', 'Tips for managing digital device usage']",Fostering develop and promote mental health apps and increase accessibility to mental health services can lead to stronger support networks.
23-27 years,Female,Student,More than 6 hours,"['Work/Professional tasks', 'Gaming', 'Watching videos/Movies']",Always,No,Often,Yes,Very uncomfortable,A lot,Rarely,Average,Average,Yes,No,"['Self-help resources (books, articles, videos)']",Yes,"['Other (please specify)', 'Immediate emotional support', 'Tips for managing digital device usage']",Encouraging promote mindfulness and relaxation techniques among Gen Z can lead to improved access to support.
17-23 years,Female,Employed,2-4 hours,"['Work/Professional tasks', 'Studying/Educational purposes']",Never,No,Sometimes,Yes,Very uncomfortable,Significantly,Always,Good,Poor,Not sure,No,"['AI-powered chatbots', 'Online therapy sessions']",Yes,['Tips for managing digital device usage'],We should increase funding for mental health research to ensure Gen Z has access to supportive services.
Under 12 years,Female,Student,4-6 hours,"['Studying/Educational purposes', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Work/Professional tasks']",Sometimes,Yes,Rarely,No,Very comfortable,Significantly,Often,Very good,Very Good,Yes,Yes,['Online therapy sessions'],Yes,['Other (please specify)'],Integrating improve access to online mental health resources into universities can help in supporting Gen Z's mental health.
27 years and above,Male,Unemployed,4-6 hours,['Studying/Educational purposes'],Sometimes,No,Often,No,Somewhat uncomfortable,A little,Always,Good,Good,Not sure,Yes,"['Self-help resources (books, articles, videos)']",No,"['Immediate emotional support', 'Connection to professional help', 'Other (please specify)']",community support and emotional support are vital for universities to effectively support Gen Z's mental health.
Under 12 years,Male,Student,More than 6 hours,"['Watching videos/Movies', 'Gaming', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Often,Sometimes,Rarely,No,Very comfortable,Not at all,Sometimes,Very good,Good,Not sure,No,['AI-powered chatbots'],Yes,"['Other (please specify)', 'Daily check-ins/mood tracking']",One way to support Gen Z's mental health is by develop and promote mental health apps and offer mental health training programs.
27 years and above,Female,Unemployed,More than 6 hours,"['Work/Professional tasks', 'Gaming', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Rarely,Sometimes,Sometimes,Yes,Somewhat comfortable,A little,Never,Good,Average,Not sure,Yes,"['Self-help resources (books, articles, videos)', 'AI-powered chatbots']",Maybe,['Connection to professional help'],workplaces should prioritize provide mental health training for teachers and parents and promote mental health awareness campaigns for better mental health support.
Under 12 years,Male,Student,2-4 hours,['Gaming'],Often,Sometimes,Sometimes,Yes,Very uncomfortable,Not at all,Always,Good,Good,No,No,"['In-person counseling', 'Support groups']",Maybe,"['Tips for managing digital device usage', 'Other (please specify)']",Fostering integrate mental health education into the school curriculum and provide online and offline support groups can lead to better coping mechanisms.
27 years and above,Male,Employed,4-6 hours,"['Studying/Educational purposes', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Rarely,Yes,Sometimes,Yes,Very uncomfortable,Not at all,Sometimes,Average,Average,Yes,No,['Online therapy sessions'],Maybe,"['Immediate emotional support', 'Tips for managing digital device usage']",develop and promote mental health apps can greatly benefit the mental health of Gen Z.
Under 12 years,Male,Student,2-4 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Gaming', 'Studying/Educational purposes']",Always,No,Never,No,Very uncomfortable,Not at all,Sometimes,Very good,Very Good,No,No,['AI-powered chatbots'],Yes,['Other (please specify)'],social media should prioritize provide mental health training for teachers and parents and offer mental health training programs for better mental health support.
27 years and above,Female,Unemployed,More than 6 hours,['Watching videos/Movies'],Never,Sometimes,Sometimes,No,Somewhat uncomfortable,A little,Rarely,Average,Good,Not sure,Yes,['AI-powered chatbots'],Yes,['Other (please specify)'],reduce the stigma associated with seeking mental health help can help bridge the gap in mental health support for Gen Z in universities.
12-17 years,Female,Student,2-4 hours,"['Studying/Educational purposes', 'Work/Professional tasks']",Never,Sometimes,Rarely,Sometimes,Somewhat uncomfortable,Not at all,Rarely,Average,Very Good,Yes,Yes,"['Self-help resources (books, articles, videos)', 'Online therapy sessions']",No,"['Immediate emotional support', 'Connection to professional help']",workplaces should prioritize develop and promote mental health apps and promote mental health through social media for better mental health support.
27 years and above,Female,Employed,2-4 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Rarely,Sometimes,Sometimes,No,Very comfortable,Not at all,Sometimes,Good,Average,Yes,Yes,['In-person counseling'],Maybe,['Daily check-ins/mood tracking'],increase peer support programs can greatly benefit the mental health of Gen Z.
27 years and above,Female,Employed,2-4 hours,['Gaming'],Always,No,Often,No,Neutral,A lot,Rarely,Good,Poor,Yes,No,"['Self-help resources (books, articles, videos)', 'Online therapy sessions']",No,['Connection to professional help'],Fostering integrate mental health education into the school curriculum and provide online and offline support groups can lead to reduced stigma.
27 years and above,Female,Employed,4-6 hours,"['Gaming', 'Watching videos/Movies', 'Work/Professional tasks']",Sometimes,Sometimes,Often,Sometimes,Very comfortable,A lot,Sometimes,Average,Poor,Not sure,Yes,['Support groups'],Maybe,"['Other (please specify)', 'Daily check-ins/mood tracking']",Supporting Gen Z's mental health requires increase funding for mental health research and promote mental health awareness campaigns.
12-17 years,Male,Student,4-6 hours,['Studying/Educational purposes'],Never,No,Rarely,Sometimes,Very uncomfortable,A lot,Rarely,Very good,Average,Yes,No,['Support groups'],No,['Immediate emotional support'],Integrating increase mental health awareness into universities can help in supporting Gen Z's mental health.
17-23 years,Female,Employed,2-4 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Always,Sometimes,Sometimes,No,Somewhat comfortable,Significantly,Sometimes,Average,Good,Yes,Yes,"['Self-help resources (books, articles, videos)', 'AI-powered chatbots']",Yes,"['Resources for mental health (articles, videos, etc.)', 'Other (please specify)', 'Connection to professional help']","To improve mental health support for Gen Z, improve access to online mental health resources in communities."
12-17 years,Male,Student,2-4 hours,"['Studying/Educational purposes', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Sometimes,Yes,Rarely,Sometimes,Somewhat comfortable,Moderately,Rarely,Good,Good,Yes,Yes,['In-person counseling'],No,['Other (please specify)'],"By promote mindfulness and relaxation techniques, we can foster and improved access to support."
17-23 years,Male,Student,2-4 hours,"['Watching videos/Movies', 'Studying/Educational purposes', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Rarely,Yes,Often,Sometimes,Neutral,Significantly,Rarely,Average,Poor,Yes,No,"['In-person counseling', 'AI-powered chatbots']",No,"['Resources for mental health (articles, videos, etc.)']",develop and promote mental health apps and encourage physical and recreational activities are crucial for enhancing mental health support for Gen Z.
27 years and above,Female,Other (please specify),Less than 2 hours,"['Work/Professional tasks', 'Watching videos/Movies']",Often,Yes,Often,Sometimes,Somewhat uncomfortable,A little,Sometimes,Poor,Good,Not sure,No,"['In-person counseling', 'Self-help resources (books, articles, videos)']",No,['Immediate emotional support'],workplaces should prioritize promote a healthy balance between digital device usage and offline activities and increase accessibility to mental health services for better mental health support.
12-17 years,Female,Student,2-4 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Sometimes,No,Rarely,Sometimes,Very comfortable,A lot,Sometimes,Very good,Good,Not sure,Yes,['AI-powered chatbots'],Yes,['Immediate emotional support'],increase funding for mental health research can help bridge the gap in mental health support for Gen Z in healthcare settings.
23-27 years,Male,Student,4-6 hours,"['Studying/Educational purposes', 'Gaming']",Always,No,Always,Yes,Neutral,Not at all,Sometimes,Very poor,Very Poor,Not sure,Yes,['Online therapy sessions'],No,"['Resources for mental health (articles, videos, etc.)']","By promote a healthy balance between digital device usage and offline activities, we can encourage and stronger support networks."
23-27 years,Male,Student,4-6 hours,"['Watching videos/Movies', 'Work/Professional tasks']",Sometimes,Yes,Sometimes,Yes,Somewhat comfortable,Moderately,Rarely,Average,Good,No,No,['Other (please specify)'],Yes,['Immediate emotional support'],It's important to ensure mental health resources are culturally sensitive and promote mental health through social media to promote improved overall health for Gen Z.
Under 12 years,Male,Student,4-6 hours,"['Studying/Educational purposes', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Always,Yes,Rarely,No,Somewhat uncomfortable,Moderately,Often,Very good,Good,No,Yes,"['In-person counseling', 'AI-powered chatbots']",No,"['Immediate emotional support', 'Tips for managing digital device usage', 'Daily check-ins/mood tracking']",counseling and therapy and online and offline resources are vital for communities to effectively support Gen Z's mental health.
17-23 years,Female,Employed,4-6 hours,"['Watching videos/Movies', 'Gaming', 'Work/Professional tasks']",Sometimes,Yes,Sometimes,No,Very comfortable,A little,Often,Average,Average,Not sure,No,"['Other (please specify)', 'In-person counseling']",Maybe,['Connection to professional help'],"By implement mental health programs and workshops, we can encourage and stronger support networks."
17-23 years,Female,Student,2-4 hours,"['Studying/Educational purposes', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Gaming']",Rarely,Sometimes,Always,No,Very comfortable,Not at all,Always,Average,Very Poor,Not sure,No,['AI-powered chatbots'],Yes,"['Resources for mental health (articles, videos, etc.)', 'Daily check-ins/mood tracking', 'Connection to professional help']",online resources and emotional support are vital for schools to effectively support Gen Z's mental health.
12-17 years,Male,Student,2-4 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Rarely,Yes,Rarely,Sometimes,Very uncomfortable,Not at all,Rarely,Very good,Very Good,Not sure,No,['AI-powered chatbots'],No,"['Other (please specify)', 'Resources for mental health (articles, videos, etc.)']",Supporting Gen Z's mental health requires offer anonymous counseling services and promote mental health awareness campaigns.
27 years and above,Male,Employed,4-6 hours,"['Work/Professional tasks', 'Studying/Educational purposes', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Never,No,Sometimes,No,Neutral,Moderately,Never,Average,Average,No,No,['Other (please specify)'],Maybe,['Connection to professional help'],"To improve mental health support for Gen Z, integrate mental health education into the school curriculum in educational institutions."
23-27 years,Male,Student,4-6 hours,['Gaming'],Rarely,No,Often,No,Somewhat comfortable,A lot,Never,Poor,Average,Yes,No,"['Self-help resources (books, articles, videos)']",No,['Connection to professional help'],We should increase mental health awareness to ensure Gen Z has access to supportive services.
12-17 years,Male,Student,2-4 hours,['Watching videos/Movies'],Always,Sometimes,Sometimes,Sometimes,Somewhat comfortable,Significantly,Sometimes,Average,Average,Yes,No,"['Self-help resources (books, articles, videos)', 'Other (please specify)']",Maybe,"['Daily check-ins/mood tracking', 'Resources for mental health (articles, videos, etc.)', 'Connection to professional help']",professional help and access to mental health professionals are vital for universities to effectively support Gen Z's mental health.
23-27 years,Female,Student,More than 6 hours,"['Studying/Educational purposes', 'Watching videos/Movies']",Rarely,No,Sometimes,Sometimes,Somewhat uncomfortable,A little,Always,Good,Average,Yes,Yes,"['AI-powered chatbots', 'In-person counseling']",Maybe,"['Other (please specify)', 'Tips for managing digital device usage', 'Daily check-ins/mood tracking']","To improve mental health support for Gen Z, encourage employers to provide mental health support in online platforms."
12-17 years,Male,Student,4-6 hours,['Work/Professional tasks'],Rarely,No,Never,No,Very comfortable,Not at all,Often,Very good,Very Good,Yes,No,"['Support groups', 'In-person counseling']",No,['Connection to professional help'],It's essential to integrate mental health education into the school curriculum for better mental health outcomes in Gen Z.
27 years and above,Female,Unemployed,4-6 hours,"['Gaming', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Rarely,Sometimes,Always,No,Very comfortable,A little,Always,Poor,Very Poor,No,No,['AI-powered chatbots'],No,"['Other (please specify)', 'Resources for mental health (articles, videos, etc.)', 'Daily check-ins/mood tracking']","By create more inclusive and diverse mental health resources, we can improve and better mental health outcomes."
23-27 years,Female,Student,4-6 hours,"['Gaming', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Watching videos/Movies']",Never,Yes,Sometimes,No,Somewhat uncomfortable,Not at all,Never,Good,Good,Yes,No,"['Online therapy sessions', 'AI-powered chatbots']",Maybe,"['Other (please specify)', 'Resources for mental health (articles, videos, etc.)']",Providing mental health apps and access to mental health professionals can significantly improve mental health for Gen Z.
12-17 years,Male,Student,4-6 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Rarely,Sometimes,Rarely,Yes,Very comfortable,A little,Often,Very good,Very Good,No,No,['Other (please specify)'],No,"['Daily check-ins/mood tracking', 'Resources for mental health (articles, videos, etc.)', 'Tips for managing digital device usage']",Providing online resources and professional counseling can significantly improve mental health for Gen Z.
27 years and above,Female,Unemployed,4-6 hours,"['Watching videos/Movies', 'Studying/Educational purposes']",Rarely,No,Often,No,Very uncomfortable,A lot,Often,Average,Good,Yes,No,"['Online therapy sessions', 'Support groups']",No,['Tips for managing digital device usage'],It's essential to improve access to online mental health resources for better mental health outcomes in Gen Z.
12-17 years,Male,Student,2-4 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Work/Professional tasks']",Rarely,No,Sometimes,No,Neutral,A little,Rarely,Good,Good,Not sure,Yes,"['Support groups', 'AI-powered chatbots']",No,"['Immediate emotional support', 'Connection to professional help', 'Daily check-ins/mood tracking']",It's essential to improve access to online mental health resources for better mental health outcomes in Gen Z.
23-27 years,Male,Student,2-4 hours,"['Watching videos/Movies', 'Work/Professional tasks']",Rarely,Sometimes,Sometimes,No,Very uncomfortable,Not at all,Rarely,Poor,Good,No,No,['In-person counseling'],Yes,"['Immediate emotional support', 'Other (please specify)']",Supporting Gen Z's mental health requires encourage open discussions about mental health and encourage physical and recreational activities.
12-17 years,Male,Student,2-4 hours,"['Studying/Educational purposes', 'Work/Professional tasks']",Often,Yes,Never,No,Very comfortable,Significantly,Rarely,Very good,Good,No,Yes,"['In-person counseling', 'Online therapy sessions']",Yes,"['Immediate emotional support', 'Connection to professional help']",mental health apps and emotional support are vital for youth centers to effectively support Gen Z's mental health.
17-23 years,Female,Employed,4-6 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Often,Yes,Sometimes,No,Neutral,A lot,Always,Average,Average,Yes,Yes,"['In-person counseling', 'Other (please specify)']",No,['Daily check-ins/mood tracking'],increase funding for mental health research can greatly benefit the mental health of Gen Z.
27 years and above,Male,Employed,4-6 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Never,No,Sometimes,No,Very comfortable,Significantly,Never,Poor,Good,Yes,Yes,['Support groups'],Yes,"['Immediate emotional support', 'Other (please specify)', 'Connection to professional help']",It's essential to integrate mental health education into the school curriculum for better mental health outcomes in Gen Z.
Under 12 years,Female,Student,2-4 hours,"['Gaming', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Work/Professional tasks']",Never,Sometimes,Never,No,Very uncomfortable,A little,Sometimes,Good,Very Good,Not sure,No,['AI-powered chatbots'],No,"['Tips for managing digital device usage', 'Connection to professional help', 'Daily check-ins/mood tracking']",Supporting Gen Z's mental health requires provide mental health training for teachers and parents and increase accessibility to mental health services.
23-27 years,Female,Student,4-6 hours,"['Studying/Educational purposes', 'Gaming']",Often,Sometimes,Always,Sometimes,Neutral,Significantly,Sometimes,Very poor,Average,Not sure,No,['Other (please specify)'],Yes,"['Resources for mental health (articles, videos, etc.)', 'Connection to professional help', 'Daily check-ins/mood tracking']",Gen Z's mental health can greatly benefit from reduce the stigma associated with seeking mental health help and promote mental health through social media provided in workplaces.
17-23 years,Female,Student,2-4 hours,['Studying/Educational purposes'],Never,Sometimes,Sometimes,No,Somewhat uncomfortable,A lot,Never,Poor,Average,Not sure,No,"['Support groups', 'Online therapy sessions']",Maybe,"['Immediate emotional support', 'Tips for managing digital device usage']",Encouraging encourage regular mental health check-ups among Gen Z can lead to better mental health outcomes.
12-17 years,Male,Student,4-6 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Sometimes,Yes,Rarely,Sometimes,Very comfortable,A little,Always,Very good,Good,Yes,No,['Support groups'],No,['Daily check-ins/mood tracking'],provide mental health training for teachers and parents can greatly benefit the mental health of Gen Z.
17-23 years,Female,Student,2-4 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Watching videos/Movies']",Often,Sometimes,Often,No,Somewhat comfortable,A lot,Always,Poor,Poor,No,Yes,"['In-person counseling', 'AI-powered chatbots']",Yes,"['Immediate emotional support', 'Resources for mental health (articles, videos, etc.)', 'Daily check-ins/mood tracking']",We should encourage regular mental health check-ups to ensure Gen Z has access to mental health resources.
12-17 years,Male,Student,More than 6 hours,"['Studying/Educational purposes', 'Watching videos/Movies']",Often,Yes,Rarely,No,Very uncomfortable,A little,Often,Very good,Very Good,No,No,['In-person counseling'],No,"['Resources for mental health (articles, videos, etc.)', 'Tips for managing digital device usage']",It's essential to increase mental health awareness for better mental health outcomes in Gen Z.
17-23 years,Female,Student,4-6 hours,"['Work/Professional tasks', 'Gaming', 'Studying/Educational purposes']",Sometimes,Yes,Often,Sometimes,Very comfortable,A lot,Always,Average,Average,No,No,['Support groups'],No,['Other (please specify)'],"By promote a healthy balance between digital device usage and offline activities, we can foster and enhanced well-being."
17-23 years,Male,Student,4-6 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Work/Professional tasks', 'Studying/Educational purposes']",Often,No,Often,No,Very uncomfortable,Moderately,Sometimes,Poor,Good,No,Yes,"['Support groups', 'In-person counseling']",Yes,['Daily check-ins/mood tracking'],hotlines and support groups and emotional support are vital for online platforms to effectively support Gen Z's mental health.
Under 12 years,Female,Student,2-4 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Work/Professional tasks']",Sometimes,Sometimes,Sometimes,No,Neutral,Not at all,Sometimes,Good,Average,Not sure,Yes,['Online therapy sessions'],Maybe,['Immediate emotional support'],Gen Z's mental health can greatly benefit from integrate mental health education into the school curriculum and promote mental health awareness campaigns provided in social media.
Under 12 years,Female,Student,4-6 hours,"['Work/Professional tasks', 'Watching videos/Movies']",Sometimes,Yes,Rarely,No,Very comfortable,Not at all,Rarely,Very good,Very Good,No,Yes,['In-person counseling'],Maybe,['Tips for managing digital device usage'],Fostering encourage open discussions about mental health and increase accessibility to mental health services can lead to better coping mechanisms.
